--------- beginning of main
09-23 01:09:05.402  3216  3216 I ScreenTranslatorA11y: Accessibility service connected
09-23 01:09:05.448  3216  5827 I ScreenTranslatorPipe: model prewarm [ru→en]: ready=true in 0ms
09-23 01:09:05.565  3216  3216 I ScreenTranslatorA11y: Overlay geometry: display=1080x2400, root=1080x2400 @ (0, 0)
09-23 01:09:06.880  3216  5827 I ScreenTranslatorPipe: OCR 1080x2400 (scale=1.00) in 779ms → 84 region(s)
09-23 01:09:07.921  3216  3313 I ScreenTranslatorPipe:   [ru→en] "Тале Вои ыы ие." → "Hair Wari Ya." @ Rect(555, 1408 - 693, 1427)
09-23 01:09:07.923  3216  5827 I ScreenTranslatorPipe:   tesseract tried on [en]/low-conf(0.65) "and tuna. 20" → [en conf=0.65 cyr=0] "and tuna 20."
09-23 01:09:07.924  3216  5827 I ScreenTranslatorPipe:   [und] "and tuna. 20" @ Rect(49, 1511 - 146, 1525)
09-23 01:09:07.961  3216  3255 I ScreenTranslatorPipe:   tesseract tried on [und]/und "CAFE BIGOT" → [und conf=0.00 cyr=0] "CAFE BIGOT"
09-23 01:09:07.962  3216  3255 I ScreenTranslatorPipe:   [und] "CAFE BIGOT" @ Rect(177, 491 - 902, 587)
09-23 01:09:08.062  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [und]/und "FRENCHMENU" → [und conf=0.00 cyr=2] "eS ра toe ye a"
09-23 01:09:08.062  3216  6136 I ScreenTranslatorPipe:   [und] "FRENCHMENU" @ Rect(57, 1861 - 218, 1882)
09-23 01:09:08.062  3216  3255 I ScreenTranslatorPipe:   [und] "vinegar 20" @ Rect(48, 1616 - 131, 1633)
09-23 01:09:08.073  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Delete" → [und conf=0.00 cyr=0] "Delete"
09-23 01:09:08.085  3216  6136 I ScreenTranslatorPipe:   [und] "Delete" @ Rect(863, 2281 - 972, 2315)
09-23 01:09:08.094  3216  3313 I ScreenTranslatorPipe:   [und] "champignons" @ Rect(553, 980 - 660, 998)
09-23 01:09:08.094  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "interior." → [und conf=0.00 cyr=0] "interior."
09-23 01:09:08.095  3216  6135 I ScreenTranslatorPipe:   [und] "interior." @ Rect(556, 1518 - 614, 1532)
09-23 01:09:08.105  3216  5827 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Share" → [und conf=0.00 cyr=0] "Share"
09-23 01:09:08.106  3216  5827 I ScreenTranslatorPipe:   [und] "Share" @ Rect(113, 2284 - 210, 2314)
09-23 01:09:08.155  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [en]/low-conf(0.62) "ROUGE" → [en conf=0.62 cyr=0] "ROUGE"
09-23 01:09:08.155  3216  6135 I ScreenTranslatorPipe:   [und] "ROUGE" @ Rect(322, 604 - 757, 690)
09-23 01:09:08.166  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [ar-Latn]/unexpected "and tuna." → [und conf=0.00 cyr=0] "nd tuna"
09-23 01:09:08.166  3216  6136 I ScreenTranslatorPipe:   [und] "and tuna." @ Rect(50, 931 - 122, 944)
09-23 01:09:08.170  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Edit" → [und conf=0.00 cyr=0] "Edit"
09-23 01:09:08.170  3216  6135 I ScreenTranslatorPipe:   [und] "Edit" @ Rect(382, 2284 - 445, 2313)
09-23 01:09:08.186  3216  5827 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Lens" → [und conf=0.00 cyr=0] "Lens"
09-23 01:09:08.186  3216  5827 I ScreenTranslatorPipe:   [und] "Lens" @ Rect(626, 2285 - 704, 2313)
09-23 01:09:08.188  3216  6135 I ScreenTranslatorPipe:   [und] "LOGO" @ Rect(60, 1797 - 111, 1810)
09-23 01:09:08.191  3216  3313 I ScreenTranslatorPipe:   [und] "S10" @ Rect(997, 791 - 1031, 809)
09-23 01:09:08.203  3216  3313 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S10" → [und conf=0.00 cyr=0] "S10"
09-23 01:09:08.203  3216  3313 I ScreenTranslatorPipe:   [und] "S10" @ Rect(498, 1331 - 530, 1349)
09-23 01:09:08.213  3216  3312 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S10" → [km conf=0.68 cyr=0] "510"
09-23 01:09:08.213  3216  3312 I ScreenTranslatorPipe:   [und] "S10" @ Rect(498, 1246 - 530, 1264)
09-23 01:09:08.221  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S10" → [und conf=0.00 cyr=0] "S10"
09-23 01:09:08.222  3216  6135 I ScreenTranslatorPipe:   [und] "S10" @ Rect(998, 1071 - 1030, 1090)
09-23 01:09:08.233  3216  5827 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S10" → [und conf=0.00 cyr=0] "s10."
09-23 01:09:08.233  3216  5827 I ScreenTranslatorPipe:   [und] "S10" @ Rect(498, 1561 - 530, 1582)
09-23 01:09:08.234  3216  6135 I ScreenTranslatorPipe:   [und] "S10" @ Rect(1002, 1412 - 1035, 1431)
09-23 01:09:08.242  3216  3312 I ScreenTranslatorPipe:   [und] "YOUR" @ Rect(59, 1778 - 111, 1792)
09-23 01:09:08.250  3216  3313 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S1O" → [und conf=0.00 cyr=0] "S10"
09-23 01:09:08.250  3216  3313 I ScreenTranslatorPipe:   [und] "S1O" @ Rect(1002, 1321 - 1035, 1339)
09-23 01:09:08.270  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S1O" → [und conf=0.00 cyr=0] "0"
09-23 01:09:08.270  3216  6135 I ScreenTranslatorPipe:   [und] "S1O" @ Rect(997, 859 - 1029, 878)
09-23 01:09:08.280  3216  3312 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S1O" → [und conf=0.00 cyr=0] "0"
09-23 01:09:08.280  3216  3312 I ScreenTranslatorPipe:   [und] "S1O" @ Rect(997, 1177 - 1029, 1196)
09-23 01:09:08.281  3216  6134 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S1O" → [und conf=0.00 cyr=0] "S10"
09-23 01:09:08.281  3216  6134 I ScreenTranslatorPipe:   [und] "S1O" @ Rect(997, 968 - 1030, 986)
09-23 01:09:08.282  3216  6134 I ScreenTranslatorPipe: language signal: counts={fr=11, ru=1} → fr
09-23 01:09:08.283  3216  6134 I ScreenTranslatorPipe: model prewarm [fr→en]: ready=true in 0ms
09-23 01:09:08.326  3216  6134 I ScreenTranslatorPipe: LID+NMT for 84 region(s) in 1402ms → 12 card(s)
